potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
124533.34,Low,2,VIRGINIA,A,R425,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
5249.42,Low,2,NEW JERSEY,D,D399,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,f,f,f,S,1
89375.67,Low,1,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
1071290.82,Med,8,VIRGINIA,A,B504,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL",f,f,f,O,1
757980.15,Med,1,VIRGINIA,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
27118.77,Low,0,VIRGINIA,F,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,4
2878404.29,Med,7,MICHIGAN,D,R499,C,0006: CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106);0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00D4: SURFACE WATER PROTECTION,f,f,f,S,2
4978192,Med,0,VIRGINIA,A,C219,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
115000000,High,6,VIRGINIA,A,R408,,0000: UNKNOWN,f,f,f,O,41
37590.53,Low,0,VIRGINIA,A,6640,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,1
170000,Low,0,ILLINOIS,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
730000,Med,12,MONTANA,D,F103,,,t,f,f,S,6
51625,Low,1,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,3
218051.83,Low,6,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
507947.06,Med,7,COLORADO,A,C216,C,00J7: GREAT LAKES RESTORATION,f,f,f,O,1
1170792,Med,0,VIRGINIA,D,R499,C,"0050: COMPLIANCE MONITORING;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00A4: REGULATORY INNOVATION",t,t,f,S,1
736078.3,Med,4,PENNSYLVANIA,A,M1AZ,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
708645.5,Med,29,MINNESOTA,A,S203,D,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,3
57670.56,Low,6,CONNECTICUT,A,W074,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J7: GREAT LAKES RESTORATION,f,f,f,O,3
144267,Low,0,VIRGINIA,A,R499,C,00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION,f,f,f,O,1
27735714.8,Med,44,MASSACHUSETTS,A,R499,D,0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
750000,High,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
200000,Low,0,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
101058,Low,1,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
686500,Med,0,NEW JERSEY,C,AA11,B,00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,O,1
84681,Low,0,TENNESSEE,A,R425,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
42739122.69,Med,11,ALASKA,D,F021,D,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,2
599912.81,High,3,VIRGINIA,A,R408,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
4380291,Med,12,FLORIDA,B,C1AA,D,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,t,t,t,S,1
45795.26,Low,0,COLORADO,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
526022.64,Med,1,VIRGINIA,D,R499,C,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,S,3
8619.56,Low,9,MISSOURI,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
442533.6,Med,0,DELAWARE,A,6640,C,"00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00D7: TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM;00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00F9: LEGAL ADVICE: ENVIRONMENTAL PROGRAM;00G4: REGIONAL SCIENCE AND TECHNOLOGY;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK",f,f,f,O,1
140944.18,Low,0,NORTH CAROLINA,A,J066,C,00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
779227.73,Med,9,VIRGINIA,A,J063,C,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,3
156432.19,Low,0,VIRGINIA,F,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,t,f,S,2
13000,Low,2,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
250000,Med,1,MISSOURI,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
736619,Med,14,MASSACHUSETTS,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00CG: AIR POLLUTION;00ME: METHANE EMISSIONS;00NB: TECHNICAL ASSISTANCE FOR LOW INCOME COMMUNITIES;00ND: STATE/TRIBE/LOCAL GOV'T OUTREACH,f,f,f,O,1
26944.5,Low,6,VIRGINIA,F,7A21,B,"00G2: AUDITS, EVALUATIONS, AND INVESTIGATIONS",f,f,f,O,3
298442.84,Med,7,OKLAHOMA,A,6830,D,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
114730.1,Low,3,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
66389.07,Low,3,DISTRICT OF COLUMBIA,A,R499,A,00D9: TRIBAL - CAPACITY BUILDING,f,t,f,S,1
862743.3,Med,8,VIRGINIA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00C4: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS,f,f,f,O,1
23368,Low,0,MASSACHUSETTS,C,6640,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
373890.7,Med,10,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,4
99966,Low,1,UTAH,D,AJ11,D,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,185
5899794.32,Med,9,MICHIGAN,D,R499,C,0006: CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106);0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,f,f,f,S,3
3592248.76,High,2,MICHIGAN,D,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S,1
16745,Low,4,GEORGIA,F,N059,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,3
2684756.27,Med,10,CALIFORNIA,A,F108,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,2
16155.2,Low,0,TENNESSEE,F,6640,B,00G4: REGIONAL SCIENCE AND TECHNOLOGY,t,t,f,S,9
3304143.72,Med,27,MARYLAND,D,R408,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00C7: SUPERFUND:  ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;0307: SUPERFUND:  ENFORCEMENT,f,f,t,S,1
332295.74,High,4,PENNSYLVANIA,A,M1AZ,C,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
32337.5,Low,0,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
1655370,Med,0,NORTH CAROLINA,A,R425,A,0006: CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),f,f,f,O,1
2973288.94,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
3016040,Med,1,CALIFORNIA,A,R425,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,3
2638330.78,High,4,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
15000,Low,0,VIRGINIA,C,R408,B,0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,f,f,f,O,1
787071.21,Med,1,CALIFORNIA,A,B510,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
1125438,Med,12,VIRGINIA,A,R499,C,0000: UNKNOWN;0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00D4: SURFACE WATER PROTECTION,f,f,f,O,8
43719.64,Low,1,DISTRICT OF COLUMBIA,G,R799,D,0090: NEPA IMPLEMENTATION,f,f,f,O,1
44317.2,Low,1,CONNECTICUT,A,W074,C,00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00G7: FINANCIAL ASSISTANCE GRANTS / IAG MANAGEMENT,f,f,f,O,1
92907.64,Low,5,PENNSYLVANIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
84952,Low,1,WASHINGTON,F,6640,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,1
38082,Low,0,VIRGINIA,A,7A21,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,5
704000,Med,0,MISSOURI,A,R799,C,0054: ENDOCRINE DISRUPTORS,f,f,f,S,1
651880,Med,13,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
23289984.35,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
15000,Low,1,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
237483.95,Low,6,MARYLAND,D,F108,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
35871.1,Low,1,VIRGINIA,D,AJ11,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,1
14150,Low,0,NEW YORK,A,6640,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,S,3
1000000,Med,0,INDIANA,,F108,,,f,f,f,O,1
232825.17,Low,10,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
149897.46,Low,0,GEORGIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
194750,Low,0,ARIZONA,C,7630,B,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
31833291,Med,0,MASSACHUSETTS,A,F115,A,00A2: RCRA:  WASTE MINIMIZATION & RECYCLING,f,f,f,O,1
1484520.24,High,6,WEST VIRGINIA,A,D399,C,0000: UNKNOWN;00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,2
25075,Low,1,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,3
66152.39,Low,2,NORTH CAROLINA,A,R799,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
46055,Low,0,TEXAS,F,J052,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0098: RADIATION:  RESPONSE PREPAREDNESS",f,f,f,O,1
263760,Med,4,MASSACHUSETTS,F,Q402,B,0053: DRINKING WATER PROGRAMS;0088: MARINE POLLUTION;0090: NEPA IMPLEMENTATION;00D4: SURFACE WATER PROTECTION;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,5
92935.32,Low,2,MINNESOTA,C,R499,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
149979.09,Low,0,DISTRICT OF COLUMBIA,A,R499,C,00D9: TRIBAL - CAPACITY BUILDING,f,f,f,O,1
1500000,Med,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
300000,Med,2,GEORGIA,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
695767.62,Med,3,MARYLAND,D,DE02,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,1
2298050,Med,8,ALABAMA,D,R499,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00J7: GREAT LAKES RESTORATION;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,t,f,S,3
0.01,Low,4,MARYLAND,G,T006,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",t,f,f,O,1
536349.05,Med,1,CALIFORNIA,D,AH52,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,S,1
1627661.72,Med,2,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
1312857.91,Med,0,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
154619.96,Low,0,WASHINGTON,F,6830,D,0050: COMPLIANCE MONITORING;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
10056,Low,1,MARYLAND,F,8010,B,0086: LUST / UST,f,f,f,O,3
234068.84,Low,0,VIRGINIA,D,T001,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,t,f,f,S,1
515478.03,Med,15,PENNSYLVANIA,A,R429,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00C8: SUPERFUND:  EPA EMERGENCY PREPAREDNESS",f,f,f,O,1
21230,Low,0,CALIFORNIA,F,6640,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
1791777,Med,4,MASSACHUSETTS,A,AJ11,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,1
874307.41,Med,4,MARYLAND,F,S208,D,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,f,O,1
27000000,Med,2,CALIFORNIA,A,R499,,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,t,f,S,11
21904954.1,High,5,VIRGINIA,A,DF01,C,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F3: ACQUISITION MANAGEMENT;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT",f,t,f,S,4
36672446.4,High,0,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
121572.95,Low,1,HAWAII,D,F999,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,2
400000,Med,12,VIRGINIA,A,U008,A,"0044: CIVIL ENFORCEMENT;0046: CLIMATE PROTECTION PROGRAM;0052: CRIMINAL ENFORCEMENT;0053: DRINKING WATER PROGRAMS;00A1: RCRA:  WASTE MANAGEMENT;00D2: SUPERFUND:  REMEDIAL;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT;00G1: LEGAL ADVICE: SUPPORT PROGRAM;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK;00J5: TRADE AND GOVERNANCE;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,S,1
6799039.92,Med,0,WASHINGTON,A,DG11,C,00F8: IT / DATA MANAGEMENT,f,f,f,O,3
133098,Low,7,VIRGINIA,A,R499,C,0000: UNKNOWN;0084: HUMAN HEALTH RISK ASSESSMENT,f,f,f,O,1
25000,Low,0,MISSOURI,A,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S,1
2929964.03,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
4375176.46,Med,6,VIRGINIA,D,F999,,0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,f,t,f,S,3
18263311.27,High,113,MASSACHUSETTS,A,R499,D,"0000: UNKNOWN;0008: CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC);0046: CLIMATE PROTECTION PROGRAM;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0057: ENVIRONMENTAL JUSTICE;0070: HOMELAND SECURITY:  COMMUNICATION AND INFORMATION;0090: NEPA IMPLEMENTATION;0095: POLLUTION PREVENTION PROGRAM;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING;00A4: REGULATORY INNOVATION;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00F5: HUMAN RESOURCES MANAGEMENT;00H9: REGULATORY/ECONOMIC-MANAGEMENT AND ANALYSIS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY;0101: RCRA:  WASTE MANAGEMENT;0104: INTEGRATED ENVIRONMENTAL STRATEGIES;0104: REGULATORY INNOVATION;0307: SUPERFUND:  ENFORCEMENT;0404: SURFACE WATER PROTECTION;0406: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;0409: TRIBAL - CAPACITY BUILDING;0502: WETLANDS;0505: CENTRAL PLANNING, BUDGETING, AND FINANCE;0608: IT / DATA MANAGEMENT;0805: REDUCE RISKS FROM INDOOR AIR;1001: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;1002: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK;1003: PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY;1004: INTERNATIONAL SOURCES OF POLLUTION;1106: RESEARCH: AIR, CLIMATE AND ENERGY;1108: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;1109: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY;3043: BROWNFIELDS;3046: CLIMATE PROTECTION PROGRAM;3050: COMPLIANCE MONITORING;3053: DRINKING WATER PROGRAMS;3059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;3086: LUST / UST;3088: MARINE POLLUTION;3095: POLLUTION PREVENTION PROGRAM;3099: RCRA:  CORRECTIVE ACTION",f,f,f,O,4
1448363.06,High,2,VIRGINIA,D,AJ11,C,0006: CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106);00D4: SURFACE WATER PROTECTION,f,f,f,S,1
293300,Med,4,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
222099,Low,2,MASSACHUSETTS,F,F999,A,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
37149.22,Low,0,PENNSYLVANIA,G,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,1
683800,Med,2,VIRGINIA,A,R608,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",f,t,f,S,1
298805.91,Med,3,MINNESOTA,B,Z2DB,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES",f,t,f,S,1
8269277,Med,58,MARYLAND,A,F999,C,0000: UNKNOWN;0053: DRINKING WATER PROGRAMS;0057: ENVIRONMENTAL JUSTICE;0095: POLLUTION PREVENTION PROGRAM;00D4: SURFACE WATER PROTECTION;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00D7: TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM;00D8: TRI / RIGHT TO KNOW;00H9: REGULATORY/ECONOMIC-MANAGEMENT AND ANALYSIS;0408: TRI / RIGHT TO KNOW,f,f,f,O,2
29340712.76,High,63,NEW YORK,A,R799,D,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION,f,f,f,O,1
716150,High,10,VIRGINIA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00CG: AIR POLLUTION,f,f,f,O,4
3177831,Med,2,MASSACHUSETTS,A,F999,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
53768,Low,1,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
23274878,Med,19,MISSOURI,D,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
1312647.16,High,19,MASSACHUSETTS,A,R499,A,"0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,2
1655600,Med,4,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
3293220,Med,3,MASSACHUSETTS,C,R499,C,0044: CIVIL ENFORCEMENT,f,f,f,O,1
5342518,High,1,MARYLAND,F,DF01,D,00D9: TRIBAL - CAPACITY BUILDING,f,t,f,S,4
40000,Low,3,OHIO,D,F108,C,0000: UNKNOWN,f,f,f,S,1
28591.96,Low,2,NORTH CAROLINA,G,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,1
120331.8,Low,2,VIRGINIA,A,7A21,A,0050: COMPLIANCE MONITORING,f,f,f,O,1
12665.05,Low,1,TEXAS,A,6640,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,5
9083367,Med,0,MASSACHUSETTS,A,R425,A,0050: COMPLIANCE MONITORING;0057: ENVIRONMENTAL JUSTICE,f,f,f,O,1
200000,Low,1,TEXAS,G,R499,B,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
52624.09,Low,0,VIRGINIA,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,S,2
19053918.86,Med,31,NEW JERSEY,D,V214,D,00J7: GREAT LAKES RESTORATION,f,f,f,S,2
1209885,High,12,TENNESSEE,A,R499,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
24560.4,Low,1,ARIZONA,G,6350,A,0052: CRIMINAL ENFORCEMENT,f,f,f,O,1
3628045.05,Med,3,MARYLAND,D,DH10,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;00NF: IMPLEMENTATION / ACCOUNTABILITY,f,f,f,S,1
38349.28,Low,0,OHIO,A,6640,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
135346,Low,0,MASSACHUSETTS,C,F999,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,O,1
379140,Med,0,OREGON,A,5410,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,1
33755.4,Low,0,SOUTH DAKOTA,A,DF10,C,00F8: IT / DATA MANAGEMENT,t,f,f,O,3
4217112.65,Med,12,COLORADO,A,C219,C,00J7: GREAT LAKES RESTORATION,f,f,f,O,1
